Date,Description,Unit,Day1,Day2,Day3,Day4,Day5,Day6,Day7,Day8,Day9,Day10,Day11,Day12,Day13,Day14,Day15,Day16,Day17,Day18,Day19,Day20,Day21,Day22,Day23,Day24,Day25,Day26,Day27,Day28,Day29,Day30,Day31,Day32,Day33,Day34,Day35
April-24,"TG steam flow &
DM make up (TPH)",Unit-1 HW make up (TPH),17,19,9,37,46,81,276,98,83,69,10,144,243,257,255,263,188,192,218,244,249,183,95,47,41,29,32,24,71,66,,,4.980555555555555,691,
April-24,"TG steam flow &
DM make up (TPH)",Unit-2 HW make up (TPH),21,19,5,39,133,134,13,94,53,127,14,32,2,3,23,32,44,131,96,52,8,5,21,44,10,40,99,39,140,105,,,2.191666666666667,683,
April-24,"TG steam flow &
DM make up (TPH)",Unit-3 HW make up (TPH),1,0,1,1,6,6,1,5,2,1,1,6,1,3,6,6,3,1,2,1,4,2,2,1,2,5,2,2,1,2,,,0.10694444444444445,699,
April-24,"TG steam flow &
DM make up (TPH)",Boiler fill pump flow (TPH),507,526,527,517,224,469,697,673,546,535,569,682,764,753,754,617,549,497,508,588,691,533,564,583,602,629,618,623,595,601,,,24.3625,689,
April-24,"TG steam flow &
DM make up (TPH)",Unit-1 condensate flow (TPH),2907,2967,3029,3236,2669.100000000006,2815.899999999994,2944,3002,3016,3047,3064,2936,2933,2943,3010,3065,3087,3071.850000000006,3076.149999999994,3036,3021,3057,3018,3038,3053.320000000007,2992.679999999993,3042,-3151,9242,3049,,,125.30138888888888,734,
April-24,"TG steam flow &
DM make up (TPH)",Unit-1 DM water flow (TPH),2,2,1,18,17.08009999999922,39.91990000000078,153,48,33,29,0.70509999999922,74.29490000000078,132,140,143,144,100,104.83499999999913,118.16500000000087,132,137,97,47,11,6.8880000000008295,2.1119999999991705,10,3,28,23,,,2.495833333333333,732,
April-24,"TG steam flow &
DM make up (TPH)",Excess return to DM tank (TPH),401,414,411,444,188,444,696,591,458,446,410,613,720,722,733,614,499,436,469,533,638,457,425,438,445,470,452,455,472,470,,,20.783333333333335,691,
April-24,"TG steam flow &
DM make up (TPH)",(Hotwell make up+Boiler Fill p/p make up) - (excess return),145,150,131,150,221,246,291,279,226,286,184,251,290,294,305,304,285,385,355,352,314,266,257,237,210,233,299,233,335,304,,,10.858333333333334,720,
April-24,Raw water totalizer readings,Raw water intake at reservior (old meter),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April-24,Raw water totalizer readings,Raw water intake at reservior (new meter),17064168,17073028,17082514,17091760,17100834,17109982,17117368,17125066,17130060,17135950,17141276,17147964,17155620,17161650,17167012,17176790,17186288,17195562,17204822,17214568,17223366,17229730,17236352,17244258,17252084,17256992,17264386,17271804,17279586,17286872,17295716,,,16680604,16012053
April-24,Raw water totalizer readings,Raw water inlet flow (HDA billing meter),21622093,21630590,21641680,21652344,21662943,21672633,21683739,21694198,21704823,21715260,21725326,21736725,21748543,21758995,21769012,21779587,21790452,21801063,21811832,21822422,21834582,21846011,21856260,21867254,21879046,21888320,21899142,21910390,21922148,21934091,21944974,,,21067220,20325959
April-24,Raw water totalizer readings,TPC Cons-1 (RWP flow) - old meter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April-24,Raw water totalizer readings,TPC Cons-1 (RWP flow) - new meter,11600782,11608945,11617301,11625122,11633455,11641781,11647304,11653201,11657333,11661777,11666355,11671155,11676224,11680493,11685175,11693580,11702111,11710661,11719333,11728373,11735872,11741487,11746727,11752225,11756828,11761447,11766269,11772566,11778431,11783385,11791815,,,11291613,10789170
April-24,Raw water totalizer readings,TPC Cons-2 (Direct forebay make up),17243349,17246938,17251360,17255398,17258570,17261836,17268196,17272968,17280642,17287534,17294414,17301468,17308326,17315404,17321514,17325560,17329612,17333280,17337676,17341374,17346690,17353230,17360416,17366872,17374144,17380220,17386742,17394362,17401700,17409416,17414198,,,16993090,16514611
April-24,Raw water totalizer readings,TSL Cons - New meter (EM type) Local reading,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
April-24,Raw water totalizer readings,TSL Cons - New meter (EM type) DCS reading,1539440,1540058,1540548,1541076,1541692,1542305,1542968,1543468,1544159,1544897,1545538,1546273,1547082,1547658,1548178,1548746,1549228,1549878,1550600,1551144,1551635,1551932,1552349,1552954,1553559,1554218,1555426,1556812,1557770,1559078,1559772,,,1485064,1407021
